experimento_id,modelo,hiperparametros,arquitectura,corrida,precision_train,recall_train,f1_train,accuracy_train,precision_test,recall_test,f1_test,accuracy_test
RF_01_20260628_190136,random_forest,"{""n_estimators"": 50, ""max_depth"": 5, ""min_samples_leaf"": 1}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_02_20260628_190136,random_forest,"{""n_estimators"": 100, ""max_depth"": 10, ""min_samples_leaf"": 1}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_03_20260628_190136,random_forest,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_04_20260628_190136,random_forest,"{""n_estimators"": 300, ""max_depth"": 15, ""min_samples_leaf"": 5, ""max_features"": ""log2""}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_05_20260628_190136,random_forest,"{""n_estimators"": 400, ""max_depth"": 20, ""min_samples_leaf"": 2, ""criterion"": ""entropy""}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_06_20260628_190136,random_forest,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",,20260628_190136,0.9930555555555556,0.9941520467836256,0.9935413755628008,0.9929577464788732,0.9743589743589745,0.9761904761904764,0.974320987654321,0.9722222222222222
XGB_01_20260628_190136,xgboost,"{""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.1}",,20260628_190136,1.0,1.0,1.0,1.0,0.9743589743589745,0.9761904761904764,0.974320987654321,0.9722222222222222
XGB_02_20260628_190136,xgboost,"{""n_estimators"": 100, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_03_20260628_190136,xgboost,"{""n_estimators"": 200, ""max_depth"": 6, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_04_20260628_190136,xgboost,"{""n_estimators"": 300, ""max_depth"": 10, ""learning_rate"": 0.1, ""reg_lambda"": 1.0}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_05_20260628_190136,xgboost,"{""n_estimators"": 400, ""max_depth"": 8, ""learning_rate"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.9}",,20260628_190136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_06_20260628_190136,xgboost,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.05, ""reg_lambda"": 5.0}",,20260628_190136,1.0,1.0,1.0,1.0,0.9743589743589745,0.9761904761904764,0.974320987654321,0.9722222222222222
NN_01_20260628_190136,neural_network,"{""lr"": 0.001, ""batch_size"": 16, ""epochs"": 80}","[32,relu] -> softmax",20260628_190136,1.0,1.0,1.0,1.0,0.977777777777778,0.9666666666666668,0.970961887477314,0.9722222222222222
NN_02_20260628_190136,neural_network,"{""lr"": 0.001, ""batch_size"": 16, ""epochs"": 100}","[64,relu] - [32,relu] -> softmax",20260628_190136,1.0,1.0,1.0,1.0,0.977777777777778,0.9666666666666668,0.970961887477314,0.9722222222222222
NN_03_20260628_190136,neural_network,"{""lr"": 0.001, ""batch_size"": 32, ""epochs"": 120}","[128,relu] - [64,relu] - [32,relu] -> softmax",20260628_190136,1.0,1.0,1.0,1.0,0.977777777777778,0.9666666666666668,0.970961887477314,0.9722222222222222
NN_04_20260628_190136,neural_network,"{""lr"": 0.0005, ""batch_size"": 32, ""epochs"": 150}","[64,tanh] - [32,tanh] -> softmax",20260628_190136,1.0,1.0,1.0,1.0,0.977777777777778,0.9666666666666668,0.970961887477314,0.9722222222222222
NN_05_20260628_190136,neural_network,"{""lr"": 0.001, ""batch_size"": 16, ""epochs"": 100, ""l2"": 0.001}","[256,relu] - [128,relu] - [64,relu] -> softmax",20260628_190136,1.0,1.0,1.0,1.0,0.977777777777778,0.9666666666666668,0.970961887477314,0.9722222222222222
NN_06_20260628_190136,neural_network,"{""lr"": 0.002, ""batch_size"": 64, ""epochs"": 100}","[128,relu] - [64,relu] -> softmax",20260628_190136,1.0,1.0,1.0,1.0,0.977777777777778,0.9666666666666668,0.970961887477314,0.9722222222222222
